GeneID	#PubMed	Symbol
6597	680	SMARCA4
7161	677	TP73
1019	677	CDK4
8678	675	BECN1
5894	675	RAF1
5460	674	POU5F1
3757	668	KCNH2
3685	666	ITGAV
2521	666	FUS
4353	666	MPO
1571	663	CYP2E1
2157	662	F8
4297	657	KMT2A
5371	655	PML
3039	655	HBA1
406937	654	MIR145
6280	652	S100A9
4904	650	YBX1
811	650	CALR
2547	650	XRCC6
331	648	XIAP
11200	648	CHEK2
3329	644	HSPD1
2534	643	FYN
56729	642	RETN
4968	642	OGG1
3667	641	IRS1
6615	641	SNAI1
5465	640	PPARA
4893	639	NRAS
2305	639	FOXM1
7276	639	TTR
2152	639	F3
4128	636	MAOA
378938	636	MALAT1
2778	634	GNAS
10135	633	NAMPT
60489	631	APOBEC3G
5329	629	PLAUR
3784	629	KCNQ1
1471	625	CST3
1728	623	NQO1
7520	622	XRCC5
1191	622	CLU
8074	621	FGF23
860	620	RUNX2
8842	618	PROM1
6935	617	ZEB1
7430	616	EZR
3551	615	IKBKB
7341	613	SUMO1
958	612	CD40
7412	611	VCAM1
2316	610	FLNA
7298	609	TYMS
7153	609	TOP2A
2034	607	EPAS1
5562	606	PRKAA1
4627	605	MYH9
4988	605	OPRM1
23405	604	DICER1
10273	604	STUB1
5430	603	POLR2A
4763	601	NF1
7048	599	TGFBR2
282617	598	IFNL3
801	596	CALM1
4691	596	NCL
1490	595	CCN2
6469	593	SHH
2261	593	FGFR3
9518	592	GDF15
4049	592	LTA
648	592	BMI1
8454	592	CUL1
4323	589	MMP14
545	589	ATR
3593	589	IL12B
7046	586	TGFBR1
203228	585	C9orf72
1111	584	CHEK1
4615	584	MYD88
7057	583	THBS1
1586	581	CYP17A1
1803	581	DPP4
5328	579	PLAU
2896	578	GRN
26191	577	PTPN22
1545	574	CYP1B1
7329	573	UBE2I
3172	572	HNF4A
7514	571	XPO1
1788	571	DNMT3A
5478	567	PPIA
1642	567	DDB1
6850	566	SYK
55294	566	FBXW7
3559	566	IL2RA
6464	565	SHC1
9978	565	RBX1
6794	565	STK11
7321	565	UBE2D1
9817	563	KEAP1
23586	560	RIGI
4683	560	NBN
6502	559	SKP2
891	559	CCNB1
2065	558	ERBB3
1116	553	CHI3L1
100507436	550	MICA
3084	549	NRG1
3932	546	LCK
1756	546	DMD
5058	546	PAK1
7186	545	TRAF2
5159	544	PDGFRB
959	543	CD40LG
5156	542	PDGFRA
3689	541	ITGB2
1147	540	CHUK
283120	540	H19
729230	539	CCR2
9021	539	SOCS3
3014	539	H2AX
11315	539	PARK7
2597	536	GAPDH
6662	534	SOX9
7874	533	USP7
7133	531	TNFRSF1B
6093	531	ROCK1
10399	530	RACK1
948	530	CD36
1958	529	EGR1
1025	528	CDK9
6500	528	SKP1
11093	528	ADAMTS13
1050	527	CEBPA
2212	526	FCGR2A
6927	525	HNF1A
3190	521	HNRNPK
8945	520	BTRC
9212	520	AURKB
23028	520	KDM1A
796	520	CALCA
8517	520	IKBKG
5027	520	P2RX7
2022	519	ENG
3956	517	LGALS1
7077	517	TIMP2
2194	516	FASN
7531	516	YWHAE
7037	515	TFRC
8737	514	RIPK1
2629	514	GBA1
108684022	514	FRAXA
7128	514	TNFAIP3
7052	513	TGM2
1268	511	CNR1
285	511	ANGPT2
3326	511	HSP90AB1
7528	510	YY1
1544	510	CYP1A2
6868	510	ADAM17
6256	509	RXRA
2353	509	FOS
22943	509	DKK1
6786	509	STIM1
846	508	CASR
3178	508	HNRNPA1
9314	508	KLF4
8350	508	H3C1
11186	506	RASSF1
7517	505	XRCC3
4035	505	LRP1
10018	505	BCL2L11
898	504	CCNE1
8091	503	HMGA2
1051	502	CEBPB
4316	502	MMP7
10971	502	YWHAQ
5300	501	PIN1
6598	500	SMARCB1
7249	498	TSC2
5604	498	MAP2K1
2200	498	FBN1
2956	498	MSH6
3620	497	IDO1
2539	496	G6PD
3600	496	IL15
6285	495	S100B
2625	494	GATA3
3837	493	KPNB1
652	493	BMP4
100124700	491	HOTAIR
10155	491	TRIM28
7323	491	UBE2D3
3661	491	IRF3
6885	489	MAP3K7
3570	489	IL6R
7424	488	VEGFC
9365	487	KL
5901	486	RAN
10673	485	TNFSF13B
