uniprotkb:Q6P2E9	uniprotkb:P19525	0.5
uniprotkb:Q6P2E9	uniprotkb:P26196	0.62
uniprotkb:Q6P2E9	uniprotkb:P46108	0.53
uniprotkb:Q6P2E9	uniprotkb:Q6P2E9	0.4
uniprotkb:Q6P2E9	uniprotkb:Q86TB9	0.51
uniprotkb:Q6P2E9	uniprotkb:Q8IU60	0.76
uniprotkb:Q6P2E9	uniprotkb:Q9NPI6	0.84
uniprotkb:Q6P2E9	uniprotkb:Q96ES7	0.64
uniprotkb:P19525	uniprotkb:P06493	0.44
uniprotkb:P19525	uniprotkb:P06748	0.46
uniprotkb:P19525	uniprotkb:P05198	0.78
uniprotkb:P19525	uniprotkb:O75569	0.8000000000000002
uniprotkb:P19525	uniprotkb:P19525	0.56
uniprotkb:P19525	uniprotkb:P56537	0.5
uniprotkb:P19525	uniprotkb:Q08211	0.5
uniprotkb:P19525	uniprotkb:Q15633	0.5
uniprotkb:P19525	uniprotkb:Q99848	0.53
uniprotkb:P19525	uniprotkb:Q9BZE4	0.53
uniprotkb:P19525	uniprotkb:Q9H0E2	0.5
uniprotkb:P19525	uniprotkb:Q9NX58	0.53
uniprotkb:P19525	uniprotkb:Q9NZM5	0.53
uniprotkb:P19525	uniprotkb:Q9UL40	0.62
uniprotkb:P19525	uniprotkb:Q9UPY3	0.5
uniprotkb:P19525	uniprotkb:P60953	0.44
uniprotkb:P19525	uniprotkb:Q9UN86	0.4
uniprotkb:P26196	uniprotkb:Q9NPI6	0.88
uniprotkb:P26196	uniprotkb:Q86TB9	0.58
uniprotkb:P26196	uniprotkb:Q9UKV8	0.7600000000000001
uniprotkb:P26196	uniprotkb:P46108	0.53
uniprotkb:P26196	uniprotkb:P78362	0.44
uniprotkb:P26196	uniprotkb:P67809	0.6
uniprotkb:P26196	uniprotkb:Q8IZD4	0.73
uniprotkb:P26196	uniprotkb:Q96F86	0.94
uniprotkb:P26196	uniprotkb:Q99700	0.66
uniprotkb:P26196	uniprotkb:Q7Z417	0.53
uniprotkb:P46108	uniprotkb:A7KAX9	0.59
uniprotkb:P46108	uniprotkb:P27986	0.67
uniprotkb:P46108	uniprotkb:O00401	0.4
uniprotkb:P46108	uniprotkb:O00459	0.69
uniprotkb:P46108	uniprotkb:P15498	0.4
uniprotkb:P46108	uniprotkb:P16234	0.67
uniprotkb:P46108	uniprotkb:P22681	0.91
uniprotkb:P46108	uniprotkb:P29353	0.48
uniprotkb:P46108	uniprotkb:P42684	0.7
uniprotkb:P46108	uniprotkb:P00519	0.67
uniprotkb:P46108	uniprotkb:P11362	0.48
uniprotkb:P46108	uniprotkb:P54253	0.77
uniprotkb:P46108	uniprotkb:P56945	0.82
uniprotkb:P46108	uniprotkb:Q07666	0.4
uniprotkb:P46108	uniprotkb:Q07889	0.82
uniprotkb:P46108	uniprotkb:Q07890	0.7
uniprotkb:P46108	uniprotkb:Q13191	0.62
uniprotkb:P46108	uniprotkb:Q13905	0.76
uniprotkb:P46108	uniprotkb:Q14185	0.7
uniprotkb:P46108	uniprotkb:Q8TDY4	0.77
uniprotkb:P46108	uniprotkb:Q92569	0.73
uniprotkb:P46108	uniprotkb:Q9ULH1	0.7
uniprotkb:P46108	uniprotkb:Q9Y4K4	0.7399999999999999
uniprotkb:P46108	uniprotkb:Q05397	0.63
uniprotkb:P46108	uniprotkb:Q07912	0.4
uniprotkb:P46108	uniprotkb:Q92918	0.71
uniprotkb:Q86TB9	uniprotkb:Q9NPI6	0.56
uniprotkb:Q86TB9	uniprotkb:A5YKK6	0.5
uniprotkb:Q86TB9	uniprotkb:O15116	0.7
uniprotkb:Q86TB9	uniprotkb:Q86TB9	0.4
uniprotkb:Q86TB9	uniprotkb:Q9UFF9	0.5
uniprotkb:Q86TB9	uniprotkb:Q9UIV1	0.5
uniprotkb:Q86TB9	uniprotkb:Q8IU60	0.4
uniprotkb:Q8IU60	uniprotkb:Q9NPI6	0.94
uniprotkb:Q8IU60	uniprotkb:Q92900	0.64
uniprotkb:Q8IU60	uniprotkb:Q92841	0.4
uniprotkb:Q8IU60	uniprotkb:Q8IZD4	0.55
uniprotkb:Q8IU60	uniprotkb:Q7Z2W4	0.4
uniprotkb:Q9NPI6	uniprotkb:O95429	0.73
uniprotkb:Q9NPI6	uniprotkb:P63104	0.4
uniprotkb:Q9NPI6	uniprotkb:Q13107	0.4
uniprotkb:Q9NPI6	uniprotkb:Q13485	0.78
uniprotkb:Q9NPI6	uniprotkb:Q7Z2W4	0.4
uniprotkb:Q9NPI6	uniprotkb:Q8IZD4	0.6999999999999998
uniprotkb:Q9NPI6	uniprotkb:Q92841	0.4
uniprotkb:Q9NPI6	uniprotkb:Q92900	0.78
uniprotkb:Q9NPI6	uniprotkb:Q96F86	0.94
uniprotkb:Q9NPI6	uniprotkb:Q9NPI6	0.76
uniprotkb:Q9NPI6	uniprotkb:Q9NPJ4	0.88
uniprotkb:Q9NPI6	uniprotkb:Q9Y3M2	0.83586
uniprotkb:Q96ES7	uniprotkb:P15884	0.74
uniprotkb:Q96ES7	uniprotkb:P31947	0.4
uniprotkb:Q96ES7	uniprotkb:P61964	0.64
uniprotkb:Q96ES7	uniprotkb:O75478	0.64
uniprotkb:Q96ES7	uniprotkb:Q8IYH5	0.53
uniprotkb:Q96ES7	uniprotkb:O75528	0.9
uniprotkb:Q96ES7	uniprotkb:Q9H8E8	0.53
uniprotkb:Q96ES7	uniprotkb:Q9HBM6	0.53
uniprotkb:Q96ES7	uniprotkb:Q9NS73	0.53
uniprotkb:Q96ES7	uniprotkb:Q9Y6J9	0.64
uniprotkb:Q96ES7	uniprotkb:Q9UPT9	0.4
uniprotkb:O95429	uniprotkb:P11142	0.67
uniprotkb:O95429	uniprotkb:P34931	0.67
uniprotkb:O95429	uniprotkb:P54652	0.7
uniprotkb:O95429	uniprotkb:Q8IZD4	0.56
uniprotkb:O95429	uniprotkb:Q96F86	0.53
uniprotkb:P63104	uniprotkb:O60921	0.4
uniprotkb:P63104	uniprotkb:P38646	0.4
uniprotkb:P63104	uniprotkb:P56524	0.81
uniprotkb:P63104	uniprotkb:P55072	0.57
uniprotkb:P63104	uniprotkb:Q5SW79	0.4
uniprotkb:P63104	uniprotkb:P49815	0.9
uniprotkb:P63104	uniprotkb:O43707	0.4
uniprotkb:P63104	uniprotkb:Q9Y6K9	0.4
uniprotkb:P63104	uniprotkb:P08238	0.4
uniprotkb:P63104	uniprotkb:Q5S007	0.91
uniprotkb:P63104	uniprotkb:P00533	0.77
uniprotkb:P63104	uniprotkb:P27348	0.64
uniprotkb:P63104	uniprotkb:P31946	0.73
uniprotkb:P63104	uniprotkb:P61981	0.64
uniprotkb:P63104	uniprotkb:Q04917	0.73
uniprotkb:P63104	uniprotkb:O00303	0.4
uniprotkb:P63104	uniprotkb:O00506	0.44
uniprotkb:P63104	uniprotkb:O00750	0.56
uniprotkb:P63104	uniprotkb:O14744	0.65
uniprotkb:P63104	uniprotkb:O15151	0.56
uniprotkb:P63104	uniprotkb:O60573	0.4
uniprotkb:P63104	uniprotkb:O75340	0.4
uniprotkb:P63104	uniprotkb:O94875	0.57
uniprotkb:P63104	uniprotkb:O96009	0.4
uniprotkb:P63104	uniprotkb:O96013	0.86
uniprotkb:P63104	uniprotkb:P00338	0.4
uniprotkb:P63104	uniprotkb:P00519	0.62
uniprotkb:P63104	uniprotkb:P02545	0.56
uniprotkb:P63104	uniprotkb:P02786	0.4
uniprotkb:P63104	uniprotkb:P04049	0.96
uniprotkb:P63104	uniprotkb:P04183	0.4
uniprotkb:P63104	uniprotkb:P04637	0.56
uniprotkb:P63104	uniprotkb:P06703	0.4
uniprotkb:P63104	uniprotkb:P06733	0.69
uniprotkb:P63104	uniprotkb:P06748	0.56
uniprotkb:P63104	uniprotkb:P07195	0.4
uniprotkb:P63104	uniprotkb:P07737	0.4
uniprotkb:P63104	uniprotkb:P07814	0.4
uniprotkb:P63104	uniprotkb:P08670	0.56
uniprotkb:P63104	uniprotkb:P0CG48	0.4
uniprotkb:P63104	uniprotkb:P10398	0.84
uniprotkb:P63104	uniprotkb:P10599	0.4
uniprotkb:P63104	uniprotkb:P10636	0.72
uniprotkb:P63104	uniprotkb:P11021	0.4
uniprotkb:P63104	uniprotkb:P11142	0.4
uniprotkb:P63104	uniprotkb:P12532	0.4
uniprotkb:P63104	uniprotkb:P13569	0.53
uniprotkb:P63104	uniprotkb:P14618	0.4
uniprotkb:P63104	uniprotkb:P15056	0.91
uniprotkb:P63104	uniprotkb:P15311	0.4
uniprotkb:P63104	uniprotkb:P16471	0.4000000000000001
uniprotkb:P63104	uniprotkb:P17612	0.44
uniprotkb:P63104	uniprotkb:P18669	0.4
uniprotkb:P63104	uniprotkb:P19474	0.4
uniprotkb:P63104	uniprotkb:P21333	0.4
uniprotkb:P63104	uniprotkb:P23526	0.4
uniprotkb:P63104	uniprotkb:P23528	0.66
uniprotkb:P63104	uniprotkb:P24534	0.4
uniprotkb:P63104	uniprotkb:P25054	0.4
uniprotkb:P63104	uniprotkb:P26045	0.76
uniprotkb:P63104	uniprotkb:P26599	0.4
uniprotkb:P63104	uniprotkb:P26640	0.4
uniprotkb:P63104	uniprotkb:P27448	0.92
uniprotkb:P63104	uniprotkb:P27797	0.4
uniprotkb:P63104	uniprotkb:P29353	0.53
uniprotkb:P63104	uniprotkb:P30291	0.54
uniprotkb:P63104	uniprotkb:P30305	0.92
uniprotkb:P63104	uniprotkb:P32929	0.4
uniprotkb:P63104	uniprotkb:P33176	0.77
uniprotkb:P63104	uniprotkb:P34932	0.4
uniprotkb:P63104	uniprotkb:P35249	0.4
uniprotkb:P63104	uniprotkb:P36897	0.56
uniprotkb:P63104	uniprotkb:P40227	0.4
uniprotkb:P63104	uniprotkb:P40818	0.77
uniprotkb:P63104	uniprotkb:P41743	0.4
uniprotkb:P63104	uniprotkb:P43897	0.4
uniprotkb:P63104	uniprotkb:P49368	0.4
uniprotkb:P63104	uniprotkb:P49643	0.4
uniprotkb:P63104	uniprotkb:P49841	0.4
uniprotkb:P63104	uniprotkb:P50990	0.4
uniprotkb:P63104	uniprotkb:P52597	0.4
uniprotkb:P63104	uniprotkb:P54253	0.84
uniprotkb:P63104	uniprotkb:P55795	0.4
uniprotkb:P63104	uniprotkb:P60520	0.55
uniprotkb:P63104	uniprotkb:P61587	0.65
uniprotkb:P63104	uniprotkb:P61978	0.4
uniprotkb:P63104	uniprotkb:P62258	0.86
uniprotkb:P63104	uniprotkb:P62805	0.56
uniprotkb:P63104	uniprotkb:P62993	0.53
uniprotkb:P63104	uniprotkb:P62995	0.4795
uniprotkb:P63104	uniprotkb:O14929	0.4
uniprotkb:P63104	uniprotkb:O43813	0.4
uniprotkb:P63104	uniprotkb:O43896	0.55
uniprotkb:P63104	uniprotkb:O95544	0.69
uniprotkb:P63104	uniprotkb:P00966	0.4
uniprotkb:P63104	uniprotkb:P04075	0.4
uniprotkb:P63104	uniprotkb:P04083	0.4
uniprotkb:P63104	uniprotkb:P04406	0.4
uniprotkb:P63104	uniprotkb:P04792	0.68
uniprotkb:P63104	uniprotkb:P05388	0.4
uniprotkb:P63104	uniprotkb:P05783	0.67
uniprotkb:P63104	uniprotkb:P06576	0.56
uniprotkb:P63104	uniprotkb:P07237	0.4
uniprotkb:P63104	uniprotkb:P07355	0.4
uniprotkb:P63104	uniprotkb:P07437	0.4
uniprotkb:P63104	uniprotkb:P07900	0.4
uniprotkb:P63104	uniprotkb:P07910	0.56
uniprotkb:P63104	uniprotkb:P08727	0.4
uniprotkb:P63104	uniprotkb:P09382	0.4
uniprotkb:P63104	uniprotkb:P10809	0.4
uniprotkb:P63104	uniprotkb:P17812	0.4
uniprotkb:P63104	uniprotkb:P20700	0.4
uniprotkb:P63104	uniprotkb:P22314	0.4
uniprotkb:P63104	uniprotkb:P22392	0.4
uniprotkb:P63104	uniprotkb:P22681	0.53
uniprotkb:P63104	uniprotkb:P23396	0.56
uniprotkb:P63104	uniprotkb:P30304	0.54
uniprotkb:P63104	uniprotkb:P30793	0.6
uniprotkb:P63104	uniprotkb:P31150	0.4
uniprotkb:P63104	uniprotkb:P31947	0.67
uniprotkb:P63104	uniprotkb:P34931	0.4
uniprotkb:P63104	uniprotkb:P38919	0.4
uniprotkb:P63104	uniprotkb:P41252	0.4
uniprotkb:P63104	uniprotkb:P46940	0.4
uniprotkb:P63104	uniprotkb:P49327	0.4
uniprotkb:P63104	uniprotkb:P49720	0.4
uniprotkb:P63104	uniprotkb:P50991	0.4
uniprotkb:P63104	uniprotkb:P51572	0.4
uniprotkb:P63104	uniprotkb:P52294	0.4
uniprotkb:P63104	uniprotkb:P55196	0.4
uniprotkb:P63104	uniprotkb:P60709	0.56
uniprotkb:P63104	uniprotkb:P62081	0.4
uniprotkb:P63104	uniprotkb:P62906	0.4
uniprotkb:P63104	uniprotkb:P62937	0.4
uniprotkb:P63104	uniprotkb:P63104	0.56
uniprotkb:P63104	uniprotkb:P68104	0.56
uniprotkb:P63104	uniprotkb:P68431	0.64
uniprotkb:P63104	uniprotkb:Q00536	0.53
uniprotkb:P63104	uniprotkb:Q00537	0.56
uniprotkb:P63104	uniprotkb:Q00839	0.4
uniprotkb:P63104	uniprotkb:Q01113	0.63
