Network	MF	BP	CC
Y2H	1.2475016396939962	1.227479512386579	1.0281514154885594
CoIP	1.3587863363220851	1.6534939245516724	1.200209296939435
CoIP-shared	1.4474878750819113	1.766447216599575	1.1691897506205633
Y2H-shared	1.3800776295708557	1.459322798548548	1.081810211641718
